충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 10월 충전횟수,2023년 10월 충전량,2023년 11월 충전횟수,2023년 11월 충전량,2023년 12월 충전횟수,2023년 12월 충전량,2024년 1월 충전횟수,2024년 1월 충전량
동대문구청,서울특별시 동대문구 천호대로 145  동대문구청 옥외주차장,공공시설,관공서,ME174021,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:15,2024-02-06 9:10,2024-02-06 9:36,,177,2313.54,189,2666.41,244,3341.77,89,1050.52
중앙대학교병원 다정관 주차장,서울특별시 동작구 흑석로 102  다정관 뒤편,근린생활시설,병원,ME174022,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,통신이상,2024-01-29 13:03,2024-01-29 12:05,2024-01-29 12:33,,115,1839.26,162,2567.3,156,2452.74,129,2150.82
양화진공영주차장,서울특별시 마포구 토정로 2  2층 계단쪽,주차시설,공영주차장,ME174023,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:12,2024-02-06 5:40,2024-02-06 6:23,,202,2323.47,296,3565.85,343,4060.68,333,3364.07
공덕1-1공영주차장,서울특별시 마포구 효창목길 31  옥상,주차시설,공영주차장,ME174024,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-05 16:47,2024-02-05 17:27,,122,1946.33,117,1928.23,139,1992.47,116,1845.96
홍제견인차량보관소 주차장,서울특별시 서대문구 홍제내길 227  입구 좌측편,공공시설,지자체시설,ME174025,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,충전중,2024-02-06 10:16,2024-02-05 21:51,2024-02-05 22:18,2024-02-06 9:41,140,1891.27,183,2215.6,189,3020.81,167,2787.06
홍제견인차량보관소 주차장,서울특별시 서대문구 홍제내길 227  입구 좌측편,공공시설,지자체시설,ME174025,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:12,2024-02-06 7:35,2024-02-06 7:51,,150,1895.38,0,0.0,0,0.0,29,400.61
서울시인재개발원,서울특별시 서초구 남부순환로 340길 58 ,공공시설,지자체시설,ME174026,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:14,2024-02-05 14:30,2024-02-05 15:11,,55,628.04,66,875.65,90,1201.34,96,1221.4
서울추모공원,서울특별시 서초구 양재대로12길 74  1층 입구,공공시설,지자체시설,ME174027,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:11,2024-02-06 5:14,2024-02-06 5:43,,61,937.51,69,1195.0,109,1754.41,100,1563.94
아시아공원 공영주차장,서울특별시 송파구 잠실동 84  우측 끝,주차시설,공영주차장,ME174028,1,DC차데모+AC3상+DC콤보,급속(50kW),단독,충전중,2024-02-06 10:16,2024-02-06 8:48,2024-02-06 9:31,,120,1608.98,180,2397.32,174,2492.07,146,1956.24
아시아공원 공영주차장,서울특별시 송파구 잠실동 84  우측 끝,주차시설,공영주차장,ME174028,2,DC차데모+AC3상+DC콤보,급속(50kW),단독,충전중,2024-02-06 10:14,2024-02-06 0:53,2024-02-06 1:29,2024-02-06 10:14,113,2133.55,141,2414.5,131,2530.91,127,2250.68
아시아공원 공영주차장,서울특별시 송파구 잠실동 84  우측 끝,주차시설,공영주차장,ME174028,3,DC차데모+AC3상+DC콤보,급속(50kW),단독,사용가능,2024-02-06 10:13,2024-02-05 14:23,2024-02-05 15:04,,117,2274.91,184,3238.5,172,2973.91,177,3089.83
